age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw
19-25,Female,Student in College,7,4,1.5,2,4,-0.5,0.5,0.0,1.0,-1.0,0.0,100,10,Physical,No
19-25,Male,Student in College,9,4,2.5,5,3,-1.0,-1.0,-1.0,0.5,0.0,-1.0,1,1000,Physical,Maybe
0-18,Male,Student in School,7,5,0.5,2,1,0.0,0.5,0.5,1.0,0.5,0.5,1000,111,Physical,Yes
0-18,Male,Student in College,7,5,0.5,2,3,0.0,0.0,0.0,0.0,0.0,0.0,10,1000,Physical,Maybe
0-18,Prefer not to say,Student in School,7,4,0.5,1,1,-0.5,-1.0,-0.5,0.0,0.0,0.5,1,10,Remote,Yes
40-50,Male,Working Professional,9,12,1.5,3,3,0.0,0.5,-1.0,-1.0,-1.0,-1.0,1000,1000,Remote,Yes
19-25,Male,Student in College,7,4,0.5,4,2,-1.0,-0.5,-1.0,0.0,0.0,-0.5,1110,110,Remote,Yes
19-25,Male,Working Professional,7,7,1.5,4,2,-0.5,0.0,-0.5,0.0,-0.5,-0.5,1000,1000,Remote,Maybe
0-18,Male,Student in School,11,7,0.5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1010,1111,Physical,No
19-25,Male,Student in College,5,4,0.5,2,3,0.0,0.5,0.5,0.5,0.0,0.5,1100,1110,Physical,No
0-18,Female,Student in College,4,4,1.5,1,3,0.0,-0.5,1.0,0.5,0.0,0.0,1111,1111,Physical,Yes
0-18,Male,Student in School,7,7,0.5,1,3,0.0,-0.5,0.5,0.0,0.5,-0.5,1010,1110,Physical,No
0-18,Male,Student in School,5,5,0.5,2,3,0.0,0.0,0.5,1.0,0.5,0.5,10,11,Remote,Maybe
0-18,Male,Student in School,7,7,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.5,10,1,Physical,Maybe
0-18,Female,Student in College,7,5,0.5,3,4,0.0,0.5,0.5,0.5,-0.5,0.5,1,10,Physical,No
0-18,Male,Student in College,4,5,1.5,2,5,-1.0,-0.5,1.0,0.0,-1.0,0.5,1000,1000,Physical,Maybe
0-18,Male,Student in College,4,7,0.5,4,4,0.0,-1.0,0.5,0.5,0.0,0.5,1100,1001,Physical,Maybe
0-18,Female,Student in College,9,12,0.5,3,2,0.0,0.5,0.0,0.5,0.0,-0.5,1100,1001,Physical,No
26-32,Female,Working Professional,7,9,1.5,2,2,0.5,-0.5,1.0,0.0,-0.5,0.0,10,1011,Remote,Maybe
19-25,Male,Student in College,7,7,0.5,1,1,-0.5,0.0,1.0,1.0,0.0,0.0,100,1000,Remote,Yes
33-40,Female,Working Professional,7,9,1.5,4,4,-0.5,-0.5,-1.0,0.0,-0.5,-0.5,1,1,Physical,No
19-25,Male,Student in College,4,4,0.5,1,5,-1.0,-1.0,-0.5,1.0,-1.0,-1.0,1000,1111,Physical,Yes
19-25,Female,Working Professional,7,9,1.5,5,5,-1.0,-1.0,0.5,0.5,-1.0,-1.0,1000,1001,Physical,No
19-25,Prefer not to say,Student in College,7,7,0.5,1,3,1.0,0.5,1.0,1.0,1.0,1.0,100,10,Remote,Yes
0-18,Male,Student in College,9,5,0.5,2,2,-0.5,0.0,0.5,0.5,0.5,0.0,1100,1111,Physical,Yes
50-60,Male,Retired/Senior Citizen,12,12,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1000,1,Physical,No
19-25,Female,Working Professional,9,9,1.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1010,111,Remote,Yes
19-25,Female,Student in College,4,7,2.5,2,5,1.0,1.0,1.0,1.0,1.0,1.0,1111,100,Remote,Maybe
19-25,Male,Student in College,9,4,1.5,3,2,0.0,0.5,0.5,0.5,0.0,0.5,1010,1001,Physical,Yes
0-18,Male,Student in College,9,7,1.5,4,3,-1.0,-1.0,0.0,1.0,-1.0,0.0,1,1111,Physical,Yes
19-25,Male,Student in College,5,4,0.5,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,Physical,Maybe
19-25,Male,Student in College,9,5,2.5,2,4,0.0,-0.5,1.0,1.0,0.5,1.0,1100,1111,Physical,Yes
19-25,Male,Student in College,9,4,2.5,1,1,0.0,-0.5,0.5,0.0,0.0,0.0,1010,1011,Physical,Maybe
50-60,Male,Working Professional,9,11,2.5,4,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1100,1101,Physical,Yes
19-25,Male,Student in College,5,7,1.5,4,4,-0.5,0.0,-0.5,0.0,-0.5,0.0,100,100,Physical,No
19-25,Male,Student in College,7,5,1.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,10,1101,Physical,Yes
19-25,Female,Student in College,7,11,0.5,4,2,0.0,-0.5,0.0,0.0,-1.0,0.0,1000,1000,Physical,Maybe
19-25,Male,Student in College,7,7,2.5,3,3,0.0,-0.5,0.5,0.5,0.0,0.0,1000,1,Physical,Maybe
40-50,Male,Working Professional,9,9,1.5,1,4,0.0,0.5,0.0,0.5,0.5,1.0,1000,1000,Remote,Yes
19-25,Male,Student in College,9,7,0.5,5,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1111,Physical,Yes
19-25,Male,Student in College,9,5,3.0,1,3,0.0,1.0,1.0,1.0,1.0,1.0,1111,1,Physical,Yes
19-25,Male,Student in College,4,7,0.5,4,3,0.5,-0.5,0.0,0.0,-0.5,0.5,1000,1101,Physical,Yes
19-25,Female,Student in College,5,5,0.5,4,4,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,1001,1111,Physical,Maybe
0-18,Female,Student in College,9,7,0.5,3,4,0.0,0.5,0.5,1.0,0.0,0.0,1110,1111,Physical,Yes
19-25,Male,Working Professional,7,7,0.5,2,2,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1000,1001,Physical,Maybe
19-25,Male,Student in College,7,5,1.5,3,2,0.0,-0.5,0.0,-0.5,-0.5,0.0,110,100,Physical,No
40-50,Female,Homemaker,5,9,0.5,1,2,0.5,0.0,0.5,0.5,0.0,0.0,100,10,Remote,Maybe
19-25,Male,Student in College,7,7,0.5,5,4,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,1110,1000,Physical,Maybe
19-25,Male,Working Professional,7,4,0.5,3,3,-0.5,0.5,0.5,0.5,0.5,0.5,1,1,Physical,Maybe
0-18,Male,Student in College,7,9,0.5,4,3,-0.5,-1.0,0.5,0.5,-0.5,0.0,100,1110,Physical,No
19-25,Female,Working Professional,9,9,0.5,3,2,0.5,1.0,0.5,1.0,1.0,1.0,1011,1111,Physical,Yes
40-50,Male,Working Professional,9,12,1.5,3,3,0.0,0.5,-1.0,-1.0,-1.0,-1.0,1000,1000,Remote,Yes
26-32,Male,Student in College,12,12,0.5,2,1,0.5,0.5,0.5,0.5,0.5,0.5,1100,1,Remote,Yes
33-40,Male,Currently Out of Work,5,7,2.5,4,4,-0.5,0.5,0.5,0.5,1.0,0.5,101,1100,Remote,Yes
60+,Female,Homemaker,4,4,0.5,4,4,0.0,0.5,0.5,0.5,0.5,0.5,1010,1001,Remote,Yes
19-25,Male,Working Professional,7,7,1.5,4,2,-0.5,0.0,-0.5,0.0,-0.5,-0.5,1000,1000,Remote,Maybe
19-25,Male,Student in College,7,5,1.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,100,Physical,No
19-25,Male,Student in College,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,Physical,Yes
19-25,Male,Student in College,7,11,0.5,3,3,1.0,-1.0,1.0,-1.0,-1.0,1.0,10,1111,Physical,Maybe
0-18,Male,Student in College,7,5,1.5,5,5,0.0,0.5,-0.5,0.0,-0.5,-0.5,100,1111,Physical,Maybe
19-25,Male,Student in College,9,4,1.5,3,1,-0.5,-1.0,0.0,0.0,-0.5,-0.5,1000,1110,Physical,Maybe
19-25,Male,Student in College,5,7,0.5,1,1,1.0,0.5,1.0,1.0,1.0,1.0,1110,1,Remote,Yes
60+,Male,Currently Out of Work,4,4,0.5,5,2,-1.0,1.0,1.0,1.0,1.0,1.0,1110,100,Remote,Maybe
50-60,Female,Homemaker,7,9,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100,100,Remote,Maybe
0-18,Female,Student in School,7,7,0.5,1,4,-0.5,-0.5,1.0,1.0,1.0,1.0,1,1,Remote,Yes
33-40,Male,Working Professional,11,11,1.5,4,3,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,Physical,No
60+,Male,Currently Out of Work,4,4,1.5,5,5,-0.5,1.0,1.0,1.0,1.0,1.0,1110,1,Remote,Yes
60+,Male,Working Professional,9,7,1.5,5,2,-0.5,1.0,1.0,1.0,1.0,1.0,1110,1,Remote,Yes
33-40,Prefer not to say,Entrepreneur,9,9,0.5,2,1,1.0,-0.5,1.0,1.0,1.0,1.0,1110,1001,Physical,Maybe
40-50,Male,Medical Professional,7,12,1.5,5,5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,110,1,Remote,Maybe
40-50,Male,Working Professional,7,12,2.5,4,3,-0.5,-1.0,-0.5,-1.0,-1.0,-0.5,110,1,Remote,No
60+,Male,Currently Out of Work,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,Physical,No
50-60,Female,Homemaker,5,12,0.5,1,2,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,110,1,Remote,Maybe
26-32,Female,Entrepreneur,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,Remote,Yes
26-32,Male,Working Professional,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,Physical,Maybe
40-50,Female,Working Professional,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,Physical,Yes
19-25,Male,Student in College,7,5,1.5,1,4,-0.5,-0.5,0.0,0.0,0.0,0.0,1010,1100,Remote,Maybe
40-50,Female,Working Professional,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,Physical,Yes
26-32,Female,Entrepreneur,11,12,3.0,2,3,1.0,0.0,0.5,0.5,0.5,-0.5,100,1011,Physical,Yes
19-25,Male,Student in College,7,4,0.5,2,3,0.0,0.0,-1.0,1.0,0.0,-1.0,100,101,Remote,Yes
19-25,Female,Student in College,7,5,1.5,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1000,1000,Physical,Yes
50-60,Female,Working Professional,12,12,1.5,1,1,1.0,1.0,-0.5,0.5,0.5,0.0,1101,1100,Remote,Yes
26-32,Female,Entrepreneur,11,12,3.0,2,3,1.0,0.0,0.5,0.5,0.5,-0.5,100,1011,Physical,Yes
33-40,Female,Working Professional,9,9,1.5,2,2,0.5,0.5,0.5,1.0,0.5,0.5,1100,1001,Remote,Yes
0-18,Male,Student in School,7,5,0.5,4,2,-0.5,0.0,0.5,1.0,0.0,0.0,100,1000,Physical,No
19-25,Male,Working Professional,7,4,0.5,3,3,-0.5,0.5,0.5,0.5,0.5,0.5,1,1,Physical,Maybe
19-25,Male,Student in College,9,5,1.5,2,4,-0.5,-0.5,1.0,1.0,0.5,0.5,100,1111,Physical,Maybe
19-25,Male,Student in College,7,4,0.5,2,2,-0.5,0.0,-0.5,-1.0,0.0,-1.0,1000,1101,Physical,Yes
19-25,Male,Student in College,7,7,0.5,5,4,-1.0,0.0,-0.5,0.0,-1.0,-1.0,1100,1101,Physical,No
19-25,Male,Student in College,7,4,0.5,1,1,0.0,0.0,1.0,0.0,-1.0,1.0,10,1111,Physical,Yes
0-18,Female,Student in College,7,12,1.5,1,3,1.0,-1.0,0.0,-1.0,1.0,-0.5,1111,1100,Remote,Yes
40-50,Female,Entrepreneur,9,12,1.5,4,4,-0.5,-1.0,0.0,-1.0,0.0,0.0,100,1011,Physical,Maybe
19-25,Male,Working Professional,9,9,0.5,4,2,-0.5,-0.5,1.0,0.0,-0.5,0.5,1000,1110,Physical,Maybe
19-25,Female,Student in College,9,5,0.5,5,4,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,10,1101,Physical,Maybe
26-32,Male,Working Professional,7,5,0.5,3,5,-0.5,-0.5,-0.5,0.5,0.0,-0.5,1010,1101,Physical,Yes
33-40,Male,Working Professional,9,9,0.5,2,2,0.5,0.5,0.5,1.0,0.0,0.5,1100,1,Remote,Yes
40-50,Female,Medical Professional,9,4,2.5,3,5,-0.5,0.0,0.0,0.5,0.0,0.0,10,1000,Physical,No
26-32,Male,Student in College,9,12,0.5,4,4,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,1110,1111,Physical,Maybe
40-50,Male,Working Professional,9,9,1.5,1,1,1.0,0.5,1.0,1.0,0.5,0.5,1100,1101,Remote,Yes
40-50,Male,Working Professional,9,9,0.5,3,3,0.5,0.0,0.5,0.5,0.5,0.5,1000,100,Remote,Yes
50-60,Male,Working Professional,11,11,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,Remote,Yes
26-32,Female,Homemaker,5,12,0.5,3,5,-0.5,-1.0,-0.5,0.0,-0.5,-0.5,100,111,Physical,Maybe
26-32,Male,Working Professional,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,Physical,Maybe
26-32,Male,Working Professional,11,12,1.5,2,2,0.0,0.0,0.0,-1.0,0.0,-0.5,1111,1100,Physical,Yes
40-50,Male,Working Professional,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,Remote,Yes
26-32,Male,Working Professional,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Physical,No
26-32,Male,Working Professional,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,Remote,Yes
26-32,Male,Working Professional,11,12,0.5,3,3,0.0,0.0,-1.0,-1.0,0.0,0.0,11,1010,Physical,Maybe
26-32,Male,Entrepreneur,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,Physical,Yes
26-32,Male,Working Professional,7,5,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,Remote,No
33-40,Male,Working Professional,7,7,3.0,2,5,-0.5,0.5,-0.5,0.5,0.5,0.5,1000,100,Physical,Yes
50-60,Male,Working Professional,9,9,0.5,2,4,-1.0,0.0,0.5,0.5,-0.5,0.0,1100,1,Physical,Yes
33-40,Male,Working Professional,11,11,2.5,4,4,0.0,0.0,0.0,-1.0,0.0,-1.0,111,1111,Physical,Yes
26-32,Male,Working Professional,7,9,2.5,3,3,0.5,0.5,0.5,1.0,0.0,0.5,1100,1110,Physical,Maybe
26-32,Female,Working Professional,9,12,0.5,2,5,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,1000,1111,Physical,Yes
40-50,Male,Working Professional,9,11,0.5,2,2,0.5,0.0,0.0,1.0,0.0,0.0,1100,1111,Physical,No
26-32,Prefer not to say,Working Professional,11,11,2.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1000,1001,Physical,Maybe
26-32,Male,Working Professional,9,11,1.5,3,2,0.5,1.0,0.0,1.0,0.5,0.5,1010,1101,Physical,Yes
40-50,Male,Working Professional,7,9,0.5,2,2,-0.5,0.0,0.5,0.5,0.0,0.5,1100,1010,Physical,Yes
40-50,Male,Working Professional,9,11,0.5,2,1,1.0,0.5,0.5,1.0,1.0,1.0,1100,1010,Physical,Yes
26-32,Male,Working Professional,7,9,0.5,2,1,0.5,0.0,0.5,0.5,0.5,0.5,1100,1000,Remote,Yes
40-50,Male,Working Professional,9,11,0.5,3,2,0.0,-0.5,0.0,-0.5,-0.5,-0.5,1000,1101,Remote,Yes
26-32,Male,Working Professional,9,7,1.5,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1101,1100,Remote,Yes
40-50,Male,Working Professional,9,12,1.5,2,1,1.0,0.0,-0.5,-0.5,0.5,0.0,1000,1,Remote,Yes
26-32,Male,Working Professional,9,7,1.5,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1110,10,Remote,Yes
26-32,Male,Working Professional,9,12,0.5,3,3,0.0,-1.0,0.0,0.0,0.0,0.0,1100,1111,Physical,Yes
26-32,Male,Working Professional,9,11,0.5,3,2,0.0,0.0,-0.5,1.0,0.5,0.0,1111,1010,Physical,Yes
19-25,Male,Working Professional,9,4,0.5,2,2,0.5,-0.5,0.0,1.0,-1.0,-0.5,100,1101,Physical,Yes
50-60,Female,Working Professional,9,11,1.5,3,2,0.0,-0.5,0.5,0.0,0.0,0.0,1000,11,Physical,No
26-32,Male,Working Professional,9,12,0.5,4,5,0.0,-0.5,-0.5,0.0,-0.5,-0.5,100,1100,Physical,No
40-50,Male,Working Professional,9,9,2.5,2,4,-0.5,0.0,-1.0,-0.5,0.0,0.0,1000,1100,Physical,Maybe
50-60,Male,Working Professional,9,5,1.5,2,1,-0.5,-0.5,-0.5,0.5,0.0,0.5,1000,11,Physical,Yes
26-32,Male,Working Professional,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,Physical,Yes
50-60,Female,Working Professional,7,9,0.5,4,4,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,100,1111,Physical,No
40-50,Female,Working Professional,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,Remote,Yes
40-50,Female,Working Professional,9,12,0.5,2,3,0.0,-0.5,0.0,-0.5,-0.5,-0.5,100,1,Physical,Maybe
40-50,Female,Working Professional,9,11,0.5,3,3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1000,Physical,Yes
40-50,Female,Working Professional,7,9,0.5,3,3,0.0,-1.0,-0.5,0.0,-0.5,-0.5,1000,1110,Physical,Maybe
33-40,Male,Working Professional,9,11,0.5,1,2,0.0,-1.0,0.0,0.0,0.0,-0.5,1111,1101,Remote,Yes
26-32,Female,Working Professional,7,7,1.5,3,3,0.0,0.0,0.0,0.5,0.0,0.0,1000,1000,Remote,Yes
40-50,Female,Entrepreneur,9,9,0.5,1,1,0.0,0.0,-0.5,1.0,1.0,0.0,1001,10,Remote,Yes
26-32,Male,Working Professional,9,12,2.5,3,3,-0.5,0.0,-1.0,0.0,0.0,-0.5,1101,1010,Physical,Maybe
50-60,Female,Entrepreneur,5,5,0.5,3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1111,Remote,Maybe
40-50,Male,Working Professional,9,9,0.5,3,4,0.0,0.0,0.5,0.5,0.0,0.5,1000,1,Physical,Yes
26-32,Male,Working Professional,7,9,0.5,3,4,0.5,-0.5,-0.5,-1.0,-0.5,-0.5,1011,1100,Physical,Yes
50-60,Female,Working Professional,5,11,0.5,1,1,0.5,0.5,1.0,1.0,1.0,0.0,100,100,Remote,Maybe
26-32,Male,Working Professional,7,9,2.5,3,3,0.5,0.5,0.5,1.0,0.0,0.5,1100,1110,Physical,Maybe
40-50,Male,Working Professional,9,11,1.5,1,1,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1000,1,Remote,Yes
33-40,Female,Working Professional,9,11,0.5,3,4,-0.5,-0.5,-0.5,0.5,-0.5,0.0,1000,1101,Physical,No
33-40,Male,Working Professional,11,12,1.5,3,1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1000,Physical,Maybe
33-40,Male,Entrepreneur,5,4,0.5,1,2,0.0,-1.0,0.5,0.5,0.5,-0.5,1000,100,Physical,No
19-25,Male,Student in College,7,9,0.5,5,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1110,Physical,Yes
50-60,Male,Working Professional,7,7,1.5,3,4,0.5,0.0,0.5,1.0,0.5,0.5,1000,1100,Physical,No
26-32,Male,Working Professional,9,12,0.5,5,1,0.5,-1.0,-1.0,0.5,-0.5,-0.5,110,1111,Physical,Yes
33-40,Male,Working Professional,5,4,0.5,3,2,-0.5,0.5,0.5,1.0,0.5,0.0,100,1101,Physical,Maybe
40-50,Female,Entrepreneur,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,Physical,Yes
33-40,Male,Working Professional,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,Physical,No
33-40,Female,Homemaker,5,9,0.5,5,3,0.5,-0.5,0.0,1.0,-0.5,-0.5,100,100,Remote,Yes
26-32,Male,Currently Out of Work,5,4,2.5,4,4,-1.0,0.5,0.0,0.5,-0.5,-0.5,100,1101,Physical,No
26-32,Female,Working Professional,7,9,1.5,2,3,0.5,-1.0,0.0,0.0,-0.5,-0.5,100,1101,Physical,Maybe
26-32,Female,Working Professional,7,9,0.5,4,3,0.0,0.0,-0.5,0.0,-0.5,-1.0,100,1101,Physical,No
40-50,Male,Working Professional,11,9,1.5,2,1,0.0,-0.5,0.5,0.5,0.5,0.5,1100,1100,Remote,Yes
50-60,Female,Working Professional,7,5,2.5,1,3,0.0,0.0,0.0,0.0,0.5,0.5,1100,100,Remote,Yes
40-50,Male,Working Professional,9,9,1.5,3,4,0.0,-0.5,0.0,-0.5,0.0,-0.5,1000,1000,Remote,Yes
50-60,Male,Working Professional,7,7,1.5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Remote,Maybe
40-50,Male,Working Professional,7,7,0.5,2,3,1.0,0.0,0.0,0.5,0.5,0.0,1111,1011,Remote,Yes
50-60,Female,Medical Professional,7,5,0.5,3,2,-0.5,-0.5,0.5,-0.5,-0.5,0.5,1100,1,Physical,No
40-50,Female,Homemaker,7,9,0.5,1,3,-0.5,-0.5,-1.0,-1.0,-1.0,-1.0,1100,110,Physical,Yes
33-40,Male,Working Professional,9,9,2.5,3,1,0.0,0.0,0.0,0.5,0.0,0.0,1101,1001,Remote,Maybe
50-60,Male,Working Professional,9,9,1.5,2,5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1,1000,Physical,Maybe
26-32,Male,Working Professional,7,12,0.5,3,5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1100,Physical,No
50-60,Male,Working Professional,7,9,0.5,4,4,0.0,0.0,0.5,0.5,0.0,0.5,1000,11,Remote,Yes
40-50,Male,Working Professional,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,Remote,Yes
33-40,Male,Working Professional,9,9,0.5,2,3,0.5,-0.5,0.0,1.0,0.5,0.0,1110,110,Physical,Yes
50-60,Female,Homemaker,4,4,0.5,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1,Physical,No
50-60,Male,Entrepreneur,9,12,0.5,1,2,0.0,-0.5,0.5,0.5,0.0,-0.5,1000,1000,Remote,Yes
50-60,Male,Working Professional,9,9,0.5,3,2,0.0,0.0,-0.5,-0.5,-0.5,-0.5,1,1111,Physical,Maybe
50-60,Male,Working Professional,9,9,1.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1000,11,Remote,Yes
50-60,Male,Currently Out of Work,11,4,1.5,2,4,0.0,-0.5,-1.0,0.0,-0.5,0.0,101,1001,Remote,Yes
50-60,Male,Working Professional,7,5,1.5,4,4,-0.5,0.0,0.0,-0.5,-0.5,0.0,10,100,Physical,Maybe
33-40,Male,Working Professional,9,9,0.5,2,3,0.5,-0.5,0.0,1.0,0.5,0.0,1110,110,Physical,Yes
33-40,Female,Medical Professional,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,Physical,Maybe
26-32,Female,Entrepreneur,5,9,1.5,1,2,0.5,0.0,0.5,0.5,-0.5,-0.5,100,11,Physical,Maybe
26-32,Male,Entrepreneur,7,9,1.5,1,2,1.0,-0.5,0.5,-0.5,-0.5,0.0,100,1001,Physical,Yes
40-50,Male,Working Professional,9,11,1.5,4,2,-0.5,-0.5,0.5,1.0,0.5,0.5,1100,1111,Physical,No
19-25,Male,Student in College,12,11,1.5,2,3,0.0,-0.5,0.0,0.0,-0.5,0.5,1000,1111,Remote,Yes
50-60,Female,Working Professional,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,Physical,No
40-50,Female,Medical Professional,12,12,1.5,3,2,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,1100,1111,Physical,No
50-60,Male,Medical Professional,12,12,2.5,3,3,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,1100,1100,Physical,No
19-25,Male,Student in College,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,Physical,Maybe
0-18,Male,Student in College,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,Physical,Yes
19-25,Male,Student in College,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,Physical,Yes
0-18,Male,Student in College,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,Physical,Yes
33-40,Male,Working Professional,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,Physical,Yes
19-25,Male,Student in College,11,12,3.0,3,4,0.5,-1.0,0.0,-0.5,-1.0,-0.5,1010,1111,Physical,No
19-25,Male,Student in College,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,Physical,Yes
19-25,Male,Working Professional,9,9,0.5,1,3,-0.5,-0.5,0.5,1.0,1.0,1.0,1100,1100,Remote,Yes
19-25,Female,Entrepreneur,5,11,0.5,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1111,10,Remote,Yes
26-32,Female,Working Professional,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Physical,No
19-25,Male,Student in College,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,Remote,Yes
19-25,Male,Working Professional,9,11,0.5,4,5,0.0,-0.5,0.5,0.5,0.0,0.5,110,1101,Physical,Yes
19-25,Male,Working Professional,7,9,0.5,3,2,1.0,-1.0,-0.5,-1.0,-0.5,0.0,1000,1100,Physical,Yes
19-25,Male,Working Professional,4,4,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,101,Physical,Yes
0-18,Male,Student in School,11,7,0.5,2,3,0.5,1.0,-0.5,0.5,0.5,0.5,1,100,Remote,Yes
19-25,Male,Student in College,7,5,1.5,3,4,0.0,-1.0,-0.5,-0.5,-1.0,0.0,1011,1100,Physical,Yes
19-25,Male,Student in College,7,11,0.5,5,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,1111,Physical,Maybe
19-25,Male,Student in College,5,7,1.5,1,5,0.5,-0.5,1.0,0.5,0.5,1.0,1010,1110,Remote,Yes
0-18,Male,Student in School,7,11,0.5,4,2,0.5,1.0,0.5,1.0,0.0,0.5,1000,1000,Physical,No
50-60,Male,Working Professional,9,9,1.5,1,3,0.0,0.0,0.5,0.0,-0.5,-0.5,1111,1110,Remote,Yes
19-25,Male,Student in College,9,7,0.5,3,3,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,1010,1,Remote,Yes
26-32,Female,Working Professional,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,Remote,Yes
26-32,Female,Working Professional,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,Remote,Yes
33-40,Female,Medical Professional,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,Physical,Maybe
40-50,Female,Entrepreneur,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,Physical,Yes
33-40,Male,Working Professional,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,Physical,No
26-32,Male,Working Professional,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,Physical,Yes
